2015-09-01T02:00:00, Slot A, heavy traffic, other, Slot B
2015-09-02T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, won`t start, other, heavy traffic
2016-09-20T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-09-21T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, other, mechanical problem
2016-09-22T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-09-23T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-09-26T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-09-27T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, won`t start, other
2016-09-28T02:00:00, Slot A, heavy traffic, other, problem run, Slot B, heavy traffic, mechanical problem, other
2016-09-29T02:00:00, Slot A, heavy traffic, other, problem run, Slot B, heavy traffic, mechanical problem, other
2016-09-30T02:00:00, Slot A, heavy traffic, other, problem run, Slot B, heavy traffic, won`t start, mechanical problem
2016-10-03T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, accident, heavy traffic, other
2016-10-04T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B,
2016-10-05T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2016-10-06T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-10-07T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-10-10T02:00:00, Slot A, flat tire, Slot B,
2016-10-11T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-10-12T02:00:00, Slot A, other, heavy traffic, problem run, Slot B, mechanical problem, other, won`t start
2016-10-13T02:00:00, Slot A, heavy traffic, other, problem run, Slot B, heavy traffic, other, mechanical problem
2016-10-14T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2016-10-17T02:00:00, Slot A, heavy traffic, other, problem run, Slot B, mechanical problem, heavy traffic, won`t start
2016-10-18T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, heavy traffic, won`t start
2016-10-19T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, other
2016-10-20T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-10-21T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-10-24T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, won`t start
2016-10-25T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-10-26T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, won`t start, heavy traffic, mechanical problem
2016-10-27T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-10-28T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2016-10-31T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-11-01T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, mechanical problem
2016-11-02T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2016-11-03T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2016-11-04T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2016-11-07T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-11-08T01:00:00, Slot A, heavy traffic, other, flat tire, Slot B, mechanical problem, other,
2016-11-09T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-11-10T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, late return from field trip, heavy traffic, mechanical problem
2016-11-11T01:00:00, Slot A, heavy traffic, other, Slot B
2016-11-14T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, mechanical problem
2016-11-15T01:00:00, Slot A, heavy traffic, weather conditions, other, Slot B, heavy traffic, mechanical problem, won`t start
2016-11-16T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, mechanical problem
2016-11-17T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-11-18T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, other
2016-11-21T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2016-11-22T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2016-11-23T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, other, mechanical problem
2016-11-28T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, heavy traffic, other
2016-11-29T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2016-11-30T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, late return from field trip, heavy traffic, mechanical problem
2016-12-01T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-12-02T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2016-12-05T01:00:00, Slot A, heavy traffic, weather conditions, other, Slot B, heavy traffic, mechanical problem, other
2016-12-06T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2016-12-07T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2016-12-08T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2016-12-09T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2016-12-12T01:00:00, Slot A, heavy traffic, weather conditions, other, Slot B, heavy traffic, other, mechanical problem
2016-12-13T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, other, mechanical problem
2016-12-14T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, late return from field trip
2016-12-15T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2016-12-16T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, won`t start
2016-12-19T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-12-20T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, late return from field trip, mechanical problem
2016-12-21T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2016-12-22T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-12-23T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-12-27T01:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic
2016-12-28T01:00:00, Slot A, heavy traffic, Slot B, other
2016-12-30T01:00:00, Slot A, Slot B, heavy traffic,
2017-01-03T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, other
2017-01-04T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-01-05T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-01-06T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2017-01-09T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, won`t start, mechanical problem, heavy traffic
2017-01-10T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-01-11T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-01-12T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-01-13T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-01-17T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, other
2017-01-18T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-01-19T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, heavy traffic, late return from field trip
2017-01-20T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-01-23T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, mechanical problem
2017-01-24T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-01-25T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2017-01-26T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2017-01-27T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, mechanical problem
2017-01-30T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-01-31T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-02-01T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, mechanical problem
2017-02-02T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-02-03T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, other
2017-02-06T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, other, won`t start
2017-02-07T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-02-08T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-02-10T01:00:00, Slot A, weather conditions, heavy traffic, other, Slot B, heavy traffic, weather conditions, other
2017-02-13T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-02-14T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-02-15T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2017-02-16T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2017-02-17T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-02-21T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, won`t start
2017-02-22T01:00:00, Slot A, heavy traffic, won`t start, flat tire, Slot B, other, heavy traffic, flat tire
2017-02-23T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other
2017-02-24T01:00:00, Slot A, other, heavy traffic, mechanical problem, Slot B, heavy traffic, flat tire, mechanical problem
2017-02-27T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-02-28T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-03-01T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-03-02T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-03-03T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-03-06T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-03-07T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-03-08T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-03-09T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-03-10T01:00:00, Slot A, heavy traffic, mechanical problem, weather conditions, Slot B, heavy traffic, other, flat tire
2017-03-13T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, other
2017-03-15T01:00:00, Slot A, weather conditions, heavy traffic, other, Slot B, heavy traffic, other, weather conditions
2017-03-16T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-03-17T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2017-03-20T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, mechanical problem
2017-03-21T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-03-22T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-03-23T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-03-24T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, won`t start
2017-03-27T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-03-28T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, late return from field trip, heavy traffic, mechanical problem
2017-03-29T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-03-30T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-03-31T02:00:00, Slot A, heavy traffic, mechanical problem, weather conditions, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-04-03T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-04-04T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-04-05T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-04-06T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-04-07T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-04-10T02:00:00, Slot A, won`t start, heavy traffic, Slot B, other,
2017-04-11T02:00:00, Slot A, mechanical problem, heavy traffic, Slot B, heavy traffic,
2017-04-12T02:00:00, Slot A, mechanical problem, heavy traffic, other, Slot B, heavy traffic, mechanical problem, flat tire
2017-04-13T02:00:00, Slot A, Slot B, heavy traffic,
2017-04-14T02:00:00, Slot A, won`t start, Slot B,
2017-04-17T02:00:00, Slot A, heavy traffic, flat tire, other, Slot B, mechanical problem
2017-04-18T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, flat tire, mechanical problem, won`t start
2017-04-19T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, other, won`t start
2017-04-20T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic, mechanical problem, won`t start
2017-04-21T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2017-04-24T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-04-25T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-04-26T02:00:00, Slot A, heavy traffic, weather conditions, other, Slot B, heavy traffic, mechanical problem, other
2017-04-27T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, other
2017-04-28T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-05-01T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, won`t start
2017-05-02T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-05-03T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-05-04T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-05-05T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, weather conditions
2017-05-08T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, flat tire
2017-05-09T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2017-05-10T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2017-05-11T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-05-12T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2017-05-15T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2017-05-16T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, late return from field trip
2017-05-17T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-05-18T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, late return from field trip
2017-05-19T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-05-22T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, won`t start
2017-05-23T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-05-24T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-05-25T02:00:00, Slot A, heavy traffic, other, weather conditions, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-05-26T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-05-30T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-05-31T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-06-01T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-06-02T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-06-05T02:00:00, Slot A, heavy traffic, mechanical problem, won`t start, Slot B, heavy traffic, mechanical problem, late return from field trip
2017-06-06T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2017-06-07T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2017-06-08T02:00:00, Slot A, heavy traffic, mechanical problem, flat tire, Slot B, heavy traffic, won`t start, other
2017-06-09T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2017-06-12T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-06-13T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, other, won`t start
2017-06-14T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-06-15T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-06-16T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-06-19T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-06-20T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-06-21T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, late return from field trip
2017-06-22T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-06-23T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-06-26T02:00:00, Slot A, heavy traffic, flat tire, other, Slot B, heavy traffic, mechanical problem,
2017-06-27T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-06-28T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, won`t start, heavy traffic,
2017-06-29T02:00:00, Slot A, heavy traffic, other, Slot B
2017-06-30T02:00:00, Slot A, Slot B, other, heavy traffic
2017-07-03T02:00:00, Slot A, heavy traffic, other, flat tire, Slot B, other, won`t start, heavy traffic
2017-07-05T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, other
2017-07-06T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-07-07T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-07-10T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2017-07-11T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, other
2017-07-12T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, mechanical problem
2017-07-13T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, won`t start, heavy traffic, mechanical problem
2017-07-14T02:00:00, Slot A, heavy traffic, other, flat tire, Slot B, heavy traffic, won`t start, other
2017-07-17T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, won`t start
2017-07-18T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, won`t start, heavy traffic, other
2017-07-19T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, mechanical problem
2017-07-20T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, flat tire
2017-07-21T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, other, late return from field trip
2017-07-24T02:00:00, Slot A, heavy traffic, other, weather conditions, Slot B, heavy traffic, other, won`t start
2017-07-25T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, heavy traffic, won`t start
2017-07-26T02:00:00, Slot A, heavy traffic, other, flat tire, Slot B, heavy traffic, other, won`t start
2017-07-27T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, won`t start, mechanical problem
2017-07-28T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-07-31T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-08-01T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, won`t start, other, heavy traffic
2017-08-02T02:00:00, Slot A, heavy traffic, other, flat tire, Slot B, heavy traffic, mechanical problem, late return from field trip
2017-08-03T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-08-04T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic, won`t start, mechanical problem
2017-08-07T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2017-09-01T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic
2017-09-05T02:00:00, Slot A, heavy traffic, other, flat tire, Slot B, heavy traffic, mechanical problem, flat tire
2017-09-06T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, won`t start, heavy traffic
2017-09-07T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, won`t start, other
2017-09-08T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, accident
2017-09-11T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-09-12T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-09-13T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-09-14T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-09-15T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-09-18T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-09-19T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-09-20T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-09-21T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, delayed by school
2017-09-22T02:00:00, Slot A, other, Slot B, other, heavy traffic, mechanical problem
2017-09-25T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-09-26T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-09-27T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-09-28T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-09-29T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-10-02T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, flat tire
2017-10-03T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-10-04T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-10-05T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, other
2017-10-06T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2017-10-09T02:00:00, Slot A, Slot B, mechanical problem,
2017-10-10T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-10-11T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-10-12T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-10-13T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-10-16T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, other
2017-10-17T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2017-10-18T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, flat tire
2017-10-19T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2017-10-20T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
